x1, x2, x3, x4, u0, u1
0.000000, 0.000000, 0.000000, 0.000000, -1.155278
0.000000, 0.000000, 0.019805, -0.052813, -1.256255
0.000396, -0.001056, 0.041341, -0.110242, -1.352454
0.001223, -0.003261, 0.064440, -0.171875, -1.443503
0.002512, -0.006699, 0.088923, -0.237269, -1.529052
0.004290, -0.011444, 0.114594, -0.305946, -1.608766
0.006582, -0.017563, 0.141247, -0.377396, -1.682332
0.009407, -0.025111, 0.168663, -0.451084, -1.749454
0.012780, -0.034133, 0.196613, -0.526445, -1.809858
0.016713, -0.044661, 0.224856, -0.602891, -1.863292
0.021210, -0.056719, 0.253144, -0.679811, -1.909524
0.026273, -0.070315, 0.281218, -0.756572, -1.948348
0.031897, -0.085447, 0.308816, -0.832527, -1.979586
0.038073, -0.102097, 0.335668, -0.907015, -2.003089
0.044787, -0.120238, 0.361501, -0.979367, -2.018740
0.052017, -0.139825, 0.386041, -1.048912, -2.026457
0.059737, -0.160803, 0.409017, -1.114983, -2.026200
0.067918, -0.183103, 0.430162, -1.176922, -2.017969
0.076521, -0.206641, 0.449217, -1.234094, -2.001812
0.085505, -0.231323, 0.465937, -1.285888, -1.977823
0.094824, -0.257041, 0.480089, -1.331734, -1.946148
0.104426, -0.283676, 0.491465, -1.371104, -1.906982
0.114255, -0.311098, 0.499877, -1.403526, -1.860570
0.124253, -0.339168, 0.505163, -1.428590, -1.807205
0.134356, -0.367740, 0.507195, -1.445953, -1.747226
0.144500, -0.396659, 0.505871, -1.455344, -1.681011
0.154617, -0.425766, 0.501127, -1.456568, -1.608972
0.164640, -0.454897, 0.492928, -1.449503, -1.531550
0.174498, -0.483887, 0.481275, -1.434102, -1.449204
0.184124, -0.512569, 0.466196, -1.410388, -1.362406
0.193448, -0.540777, 0.447752, -1.378445, -1.271632
0.202403, -0.568346, 0.426028, -1.338416, -1.177355
0.210923, -0.595114, 0.401129, -1.290492, -1.080036
0.218946, -0.620924, 0.373182, -1.234904, -0.980123
0.226410, -0.645622, 0.342328, -1.171914, -0.878038
0.233256, -0.669061, 0.308717, -1.101805, -0.774182
0.239431, -0.691097, 0.272510, -1.024878, -0.668927
0.244881, -0.711594, 0.233869, -0.941437, -0.562615
0.249558, -0.730423, 0.192958, -0.851790, -0.455559
0.253417, -0.747459, 0.149940, -0.756237, -0.348040
0.256416, -0.762584, 0.104974, -0.655071, -0.240316
0.258516, -0.775685, 0.058214, -0.548575, -0.132612
0.259680, -0.786657, 0.009808, -0.437015, -0.025135
0.259876, -0.795397, -0.040104, -0.320644, 0.081934
0.259074, -0.801810, -0.091391, -0.199698, 0.188431
0.257246, -0.805804, -0.143927, -0.074399, 0.294206
0.254368, -0.807292, -0.197597, 0.055044, 0.399122
0.250416, -0.806191, -0.252293, 0.188434, 0.503050
0.245370, -0.802422, -0.307913, 0.325583, 0.605866
